Identity_Type	Identifier
CellLine	CVCL_0031
ChemicalEntity	C016601
ChemicalEntity	C032278
GeneOrGeneProduct	51441
ChemicalEntity	C005955
GeneOrGeneProduct	5243
GeneOrGeneProduct	205
ChemicalEntity	D007288
ChemicalEntity	D003596
ChemicalEntity	D002244
ChemicalEntity	D006151
DiseaseOrPhenotypicFeature	D010051
GeneOrGeneProduct	672
GeneOrGeneProduct	675
GeneOrGeneProduct	925
GeneOrGeneProduct	2191
DiseaseOrPhenotypicFeature	D009203
DiseaseOrPhenotypicFeature	D003643
ChemicalEntity	D008055
DiseaseOrPhenotypicFeature	D000860
DiseaseOrPhenotypicFeature	D007249
GeneOrGeneProduct	16409
GeneOrGeneProduct	20202
GeneOrGeneProduct	24088
GeneOrGeneProduct	21898
GeneOrGeneProduct	170744
GeneOrGeneProduct	58217
GeneOrGeneProduct	14081
GeneOrGeneProduct	74244
GeneOrGeneProduct	207565
GeneOrGeneProduct	57436
GeneOrGeneProduct	216850
GeneOrGeneProduct	16784
GeneOrGeneProduct	406218
GeneOrGeneProduct	236539
GeneOrGeneProduct	19211
GeneOrGeneProduct	20229
GeneOrGeneProduct	20848
GeneOrGeneProduct	22695
GeneOrGeneProduct	11689
GeneOrGeneProduct	19225
GeneOrGeneProduct	22241
OrganismTaxon	10090
GeneOrGeneProduct	2081
GeneOrGeneProduct	8879
GeneOrGeneProduct	83939
GeneOrGeneProduct	5610
GeneOrGeneProduct	230784
GeneOrGeneProduct	18024
DiseaseOrPhenotypicFeature	D013345
DiseaseOrPhenotypicFeature	D004630
DiseaseOrPhenotypicFeature	D001930
GeneOrGeneProduct	83667
DiseaseOrPhenotypicFeature	D012516
ChemicalEntity	C000615150
ChemicalEntity	C000615155
ChemicalEntity	C000615160
DiseaseOrPhenotypicFeature	D012509
DiseaseOrPhenotypicFeature	D058426
GeneOrGeneProduct	3480
GeneOrGeneProduct	2064
ChemicalEntity	C581106
ChemicalEntity	D000093542
ChemicalEntity	D000069448
DiseaseOrPhenotypicFeature	D009059
DiseaseOrPhenotypicFeature	D009765
ChemicalEntity	D048271
DiseaseOrPhenotypicFeature	D006949
OrganismTaxon	1590
DiseaseOrPhenotypicFeature	D051437
DiseaseOrPhenotypicFeature	D010190
DiseaseOrPhenotypicFeature	D014947
GeneOrGeneProduct	24248
ChemicalEntity	D008315
OrganismTaxon	573
GeneOrGeneProduct	7099
GeneOrGeneProduct	3554
GeneOrGeneProduct	23098
GeneOrGeneProduct	4615
GeneOrGeneProduct	148022
GeneOrGeneProduct	5599
GeneOrGeneProduct	237868
ChemicalEntity	D011134
GeneOrGeneProduct	225471
GeneOrGeneProduct	54131
GeneOrGeneProduct	15975
DiseaseOrPhenotypicFeature	D007239
DiseaseOrPhenotypicFeature	D007710
ChemicalEntity	D005609
OrganismTaxon	3735
ChemicalEntity	C004931
ChemicalEntity	D005419
ChemicalEntity	D000432
ChemicalEntity	D006586
ChemicalEntity	C042831
ChemicalEntity	C004999
ChemicalEntity	C040048
ChemicalEntity	D002726
ChemicalEntity	D003373
ChemicalEntity	D005707
ChemicalEntity	D002392
ChemicalEntity	D011794
DiseaseOrPhenotypicFeature	D005234
DiseaseOrPhenotypicFeature	D065626
DiseaseOrPhenotypicFeature	D056486
GeneOrGeneProduct	20787
GeneOrGeneProduct	12355
GeneOrGeneProduct	9970
ChemicalEntity	D002784
ChemicalEntity	D001647
ChemicalEntity	D005227
OrganismTaxon	569578
ChemicalEntity	D001151
ChemicalEntity	D019216
ChemicalEntity	D015040
ChemicalEntity	D001966
ChemicalEntity	D013324
ChemicalEntity	D015032
ChemicalEntity	D012413
ChemicalEntity	D003300
ChemicalEntity	D007854
ChemicalEntity	D002857
OrganismTaxon	1638373
DiseaseOrPhenotypicFeature	D011230
ChemicalEntity	D011091
ChemicalEntity	C033616
ChemicalEntity	C003182
ChemicalEntity	D006851
GeneOrGeneProduct	185
SequenceVariant	c|SUB|A|-1166|C
GeneOrGeneProduct	186
SequenceVariant	c|SUB|A|-1675|G
DiseaseOrPhenotypicFeature	D011225
ChemicalEntity	D014807
ChemicalEntity	D002762
ChemicalEntity	D002117
OrganismTaxon	2697049
OrganismTaxon	9527
OrganismTaxon	11216
OrganismTaxon	9544
OrganismTaxon	1460676
ChemicalEntity	D013455
GeneOrGeneProduct	973
GeneOrGeneProduct	43740568
GeneOrGeneProduct	713807
OrganismTaxon	225461
ChemicalEntity	C000615229
ChemicalEntity	C464485
GeneOrGeneProduct	43
GeneOrGeneProduct	26503
GeneOrGeneProduct	68350
GeneOrGeneProduct	23806
DiseaseOrPhenotypicFeature	D001327
GeneOrGeneProduct	214763
OrganismTaxon	10298
GeneOrGeneProduct	17105
GeneOrGeneProduct	22040
ChemicalEntity	D002211
GeneOrGeneProduct	23411
DiseaseOrPhenotypicFeature	D002386
DiseaseOrPhenotypicFeature	D001766
DiseaseOrPhenotypicFeature	D003920
CellLine	CVCL_S908
DiseaseOrPhenotypicFeature	D006943
ChemicalEntity	D005947
ChemicalEntity	D017382
ChemicalEntity	D000077145
GeneOrGeneProduct	644914
GeneOrGeneProduct	1432
ChemicalEntity	C085118
OrganismTaxon	1521
ChemicalEntity	D002241
ChemicalEntity	D009005
ChemicalEntity	C570991
ChemicalEntity	D001089
ChemicalEntity	D014994
ChemicalEntity	C004173
DiseaseOrPhenotypicFeature	D009083
GeneOrGeneProduct	3425
ChemicalEntity	D006025
GeneOrGeneProduct	5604
GeneOrGeneProduct	22882
GeneOrGeneProduct	673
GeneOrGeneProduct	5609
CellLine	CVCL_0132
DiseaseOrPhenotypicFeature	D008545
SequenceVariant	rs113488022
GeneOrGeneProduct	5295
GeneOrGeneProduct	207
GeneOrGeneProduct	2475
GeneOrGeneProduct	1499
GeneOrGeneProduct	24414
GeneOrGeneProduct	24418
GeneOrGeneProduct	24415
GeneOrGeneProduct	24416
GeneOrGeneProduct	2912
GeneOrGeneProduct	60590
GeneOrGeneProduct	24415
ChemicalEntity	C118218
DiseaseOrPhenotypicFeature	C562393
GeneOrGeneProduct	15364
GeneOrGeneProduct	3371
DiseaseOrPhenotypicFeature	D021441
DiseaseOrPhenotypicFeature	D005770
CellLine	CVCL_L901
CellLine	CVCL_0152
GeneOrGeneProduct	4790
GeneOrGeneProduct	2146
GeneOrGeneProduct	92737
DiseaseOrPhenotypicFeature	D011471
DiseaseOrPhenotypicFeature	D064129
GeneOrGeneProduct	4609
GeneOrGeneProduct	367
GeneOrGeneProduct	287545
DiseaseOrPhenotypicFeature	C537988
DiseaseOrPhenotypicFeature	D020269
GeneOrGeneProduct	64476
GeneOrGeneProduct	9927
DiseaseOrPhenotypicFeature	D028361
DiseaseOrPhenotypicFeature	D009410
DiseaseOrPhenotypicFeature	D009422
SequenceVariant	p|SUB|H|361|Y
DiseaseOrPhenotypicFeature	D020511
DiseaseOrPhenotypicFeature	D009133
DiseaseOrPhenotypicFeature	C565376
DiseaseOrPhenotypicFeature	D019636
GeneOrGeneProduct	12416
GeneOrGeneProduct	22658
GeneOrGeneProduct	18667
DiseaseOrPhenotypicFeature	D007246
SequenceVariant	p|SUB|T|1117|I
DiseaseOrPhenotypicFeature	D000086382
OrganismTaxon	9971
SequenceVariant	p|SUB|D|614|G
GeneOrGeneProduct	43740577
SequenceVariant	p|SUB|L|84|S
ChemicalEntity	D060766
ChemicalEntity	D005461
ChemicalEntity	D002104
ChemicalEntity	D008628
DiseaseOrPhenotypicFeature	D015746
DiseaseOrPhenotypicFeature	D013272
DiseaseOrPhenotypicFeature	D015427
DiseaseOrPhenotypicFeature	D003328
DiseaseOrPhenotypicFeature	D007511
GeneOrGeneProduct	5327
DiseaseOrPhenotypicFeature	D013927
ChemicalEntity	C010686
ChemicalEntity	C005581
DiseaseOrPhenotypicFeature	D007238
GeneOrGeneProduct	608
ChemicalEntity	C556306
DiseaseOrPhenotypicFeature	D009101
GeneOrGeneProduct	3439
GeneOrGeneProduct	952
ChemicalEntity	C438462
GeneOrGeneProduct	19090
GeneOrGeneProduct	472
GeneOrGeneProduct	545
GeneOrGeneProduct	1111
GeneOrGeneProduct	11200
GeneOrGeneProduct	115004
GeneOrGeneProduct	340061
GeneOrGeneProduct	29110
GeneOrGeneProduct	3661
GeneOrGeneProduct	6772
GeneOrGeneProduct	3659
GeneOrGeneProduct	3569
ChemicalEntity	D000069286
GeneOrGeneProduct	22914
GeneOrGeneProduct	6098
GeneOrGeneProduct	3845
SequenceVariant	rs121913530
ChemicalEntity	C000607349
ChemicalEntity	C000706028
GeneOrGeneProduct	930
DiseaseOrPhenotypicFeature	D000208
DiseaseOrPhenotypicFeature	D012128
DiseaseOrPhenotypicFeature	D016393
GeneOrGeneProduct	20568
DiseaseOrPhenotypicFeature	D011565
ChemicalEntity	D000077271
DiseaseOrPhenotypicFeature	D014987
ChemicalEntity	D000431
ChemicalEntity	D004298
DiseaseOrPhenotypicFeature	D063425
ChemicalEntity	D005680
DiseaseOrPhenotypicFeature	D019966
ChemicalEntity	D000077486
DiseaseOrPhenotypicFeature	D003924
DiseaseOrPhenotypicFeature	D003324
ChemicalEntity	D001241
DiseaseOrPhenotypicFeature	D020521
DiseaseOrPhenotypicFeature	D003866
DiseaseOrPhenotypicFeature	D003865
ChemicalEntity	D015283
DiseaseOrPhenotypicFeature	D009461
ChemicalEntity	D018698
ChemicalEntity	D005978
ChemicalEntity	C027172
ChemicalEntity	C000179
ChemicalEntity	D007294
ChemicalEntity	D003401
DiseaseOrPhenotypicFeature	D018281
ChemicalEntity	D010984
ChemicalEntity	C410216
DiseaseOrPhenotypicFeature	D001650
ChemicalEntity	D003404
ChemicalEntity	D001663
GeneOrGeneProduct	213
GeneOrGeneProduct	1084
ChemicalEntity	D000069446
GeneOrGeneProduct	54658
GeneOrGeneProduct	10599
GeneOrGeneProduct	116519
ChemicalEntity	C098320
GeneOrGeneProduct	1555
ChemicalEntity	D019829
GeneOrGeneProduct	3105
ChemicalEntity	D061466
GeneOrGeneProduct	28234
GeneOrGeneProduct	1244
ChemicalEntity	D012254
GeneOrGeneProduct	9153
ChemicalEntity	C502936
GeneOrGeneProduct	2214
ChemicalEntity	D007559
ChemicalEntity	D053139
GeneOrGeneProduct	1066
ChemicalEntity	D000077144
GeneOrGeneProduct	1557
ChemicalEntity	D014859
GeneOrGeneProduct	1559
GeneOrGeneProduct	79001
ChemicalEntity	C030419
GeneOrGeneProduct	7173
SequenceVariant	rs2048722
GeneOrGeneProduct	101928337
SequenceVariant	rs925489
GeneOrGeneProduct	57715
SequenceVariant	rs4919510
DiseaseOrPhenotypicFeature	D013964
DiseaseOrPhenotypicFeature	D004701
DiseaseOrPhenotypicFeature	D006973
GeneOrGeneProduct	3630
ChemicalEntity	D014280
DiseaseOrPhenotypicFeature	D006528
CellLine	CVCL_F856
DiseaseOrPhenotypicFeature	D053632
GeneOrGeneProduct	4684
GeneOrGeneProduct	10666
GeneOrGeneProduct	5133
GeneOrGeneProduct	1493
GeneOrGeneProduct	3902
GeneOrGeneProduct	2833
GeneOrGeneProduct	6402
GeneOrGeneProduct	211401
DiseaseOrPhenotypicFeature	D015179
GeneOrGeneProduct	12767
GeneOrGeneProduct	20315
DiseaseOrPhenotypicFeature	D017093
CellLine	CVCL_0544
GeneOrGeneProduct	9788
DiseaseOrPhenotypicFeature	D008107
CellLine	CVCL_0248
ChemicalEntity	C070243
GeneOrGeneProduct	11651
GeneOrGeneProduct	12540
GeneOrGeneProduct	12540
GeneOrGeneProduct	4613
DiseaseOrPhenotypicFeature	D055752
GeneOrGeneProduct	7874
GeneOrGeneProduct	18109
ChemicalEntity	D005047
GeneOrGeneProduct	4610
GeneOrGeneProduct	3605
GeneOrGeneProduct	5228
GeneOrGeneProduct	2022
DiseaseOrPhenotypicFeature	D005317
DiseaseOrPhenotypicFeature	D017359
GeneOrGeneProduct	8074
GeneOrGeneProduct	7124
DiseaseOrPhenotypicFeature	D002318
GeneOrGeneProduct	197
CellLine	CVCL_0027
GeneOrGeneProduct	4792
GeneOrGeneProduct	28511
DiseaseOrPhenotypicFeature	D021081
DiseaseOrPhenotypicFeature	D001523
DiseaseOrPhenotypicFeature	D001927
ChemicalEntity	D012701
ChemicalEntity	D003345
ChemicalEntity	D012965
ChemicalEntity	D009566
ChemicalEntity	D001205
GeneOrGeneProduct	856425
OrganismTaxon	4932
GeneOrGeneProduct	855090
GeneOrGeneProduct	852169
ChemicalEntity	D007210
GeneOrGeneProduct	854659
GeneOrGeneProduct	853733
ChemicalEntity	C001996
ChemicalEntity	D019342
ChemicalEntity	D002713
ChemicalEntity	C512188
ChemicalEntity	D000814
ChemicalEntity	D008752
ChemicalEntity	C533756
ChemicalEntity	C042235
ChemicalEntity	C027651
ChemicalEntity	D000535
ChemicalEntity	C004658
ChemicalEntity	C036670
ChemicalEntity	D003561
ChemicalEntity	D008942
DiseaseOrPhenotypicFeature	D015470
DiseaseOrPhenotypicFeature	D064147
DiseaseOrPhenotypicFeature	D005767
GeneOrGeneProduct	29546
ChemicalEntity	D014635
DiseaseOrPhenotypicFeature	D004827
ChemicalEntity	D010433
DiseaseOrPhenotypicFeature	D012640
GeneOrGeneProduct	171381
CellLine	CVCL_0321
ChemicalEntity	D002118
GeneOrGeneProduct	24414
GeneOrGeneProduct	24418
GeneOrGeneProduct	100857832
DiseaseOrPhenotypicFeature	D018208
GeneOrGeneProduct	414144
GeneOrGeneProduct	417022
DiseaseOrPhenotypicFeature	D012983
DiseaseOrPhenotypicFeature	D012512
GeneOrGeneProduct	418574
DiseaseOrPhenotypicFeature	D013584
DiseaseOrPhenotypicFeature	D018233
DiseaseOrPhenotypicFeature	D018211
DiseaseOrPhenotypicFeature	D058405
DiseaseOrPhenotypicFeature	D009447
GeneOrGeneProduct	9659
GeneOrGeneProduct	1674
DiseaseOrPhenotypicFeature	D001281
DiseaseOrPhenotypicFeature	D006327
DiseaseOrPhenotypicFeature	D002311
SequenceVariant	rs62636495
GeneOrGeneProduct	5581
SequenceVariant	rs782597157
SequenceVariant	rs376048590
GeneOrGeneProduct	5566
GeneOrGeneProduct	5144
ChemicalEntity	D000242
GeneOrGeneProduct	154
ChemicalEntity	D007545
DiseaseOrPhenotypicFeature	D001145
ChemicalEntity	D000438
DiseaseOrPhenotypicFeature	D003072
GeneOrGeneProduct	24225
DiseaseOrPhenotypicFeature	D001007
DiseaseOrPhenotypicFeature	D008569
DiseaseOrPhenotypicFeature	D007153
DiseaseOrPhenotypicFeature	D007248
DiseaseOrPhenotypicFeature	D053627
DiseaseOrPhenotypicFeature	D007759
ChemicalEntity	D000255
GeneOrGeneProduct	7802
SequenceVariant	c|DEL|663_666|
SequenceVariant	p|FS|E|221||
GeneOrGeneProduct	25981
GeneOrGeneProduct	56171
GeneOrGeneProduct	196385
SequenceVariant	c|DEL|1663_666|
GeneOrGeneProduct	75563
GeneOrGeneProduct	10566
GeneOrGeneProduct	11643
DiseaseOrPhenotypicFeature	D019694
OrganismTaxon	10407
SequenceVariant	rs1710
GeneOrGeneProduct	3135
SequenceVariant	rs2770
GeneOrGeneProduct	3106
DiseaseOrPhenotypicFeature	D001928
GeneOrGeneProduct	4540
SequenceVariant	m|SUB|G|13708|A
SequenceVariant	rs28359178
ChemicalEntity	D006632
GeneOrGeneProduct	3067
SequenceVariant	p|SUB|W|327|X
DiseaseOrPhenotypicFeature	D024821
DiseaseOrPhenotypicFeature	D050171
ChemicalEntity	D019840
ChemicalEntity	C000621519
ChemicalEntity	D000073943
OrganismTaxon	9191
ChemicalEntity	C480342
GeneOrGeneProduct	21847
ChemicalEntity	D019344
GeneOrGeneProduct	12974
ChemicalEntity	D019802
ChemicalEntity	D019343
GeneOrGeneProduct	110784
DiseaseOrPhenotypicFeature	D009136
DiseaseOrPhenotypicFeature	D009202
DiseaseOrPhenotypicFeature	D020388
DiseaseOrPhenotypicFeature	D058499
DiseaseOrPhenotypicFeature	D019042
ChemicalEntity	D013148
ChemicalEntity	D011239
DiseaseOrPhenotypicFeature	D009135
GeneOrGeneProduct	14268
GeneOrGeneProduct	1654
ChemicalEntity	D006861
CellLine	CVCL_0550
GeneOrGeneProduct	54606
CellLine	CVCL_0069
ChemicalEntity	D008543
GeneOrGeneProduct	7299
DiseaseOrPhenotypicFeature	D012871
DiseaseOrPhenotypicFeature	D054218
SequenceVariant	p|SUB|Q|123|R
GeneOrGeneProduct	6134
SequenceVariant	p|SUB|R|98|S
DiseaseOrPhenotypicFeature	D007938
GeneOrGeneProduct	6591
DiseaseOrPhenotypicFeature	D002583
GeneOrGeneProduct	6615
CellLine	CVCL_0032
GeneOrGeneProduct	4072
GeneOrGeneProduct	6657
CellLine	CVCL_0030
CellLine	CVCL_1100
GeneOrGeneProduct	72512
ChemicalEntity	C066668
DiseaseOrPhenotypicFeature	D008654
CellLine	CVCL_4408
GeneOrGeneProduct	282665
ChemicalEntity	D011419
CellLine	CVCL_B7K5
CellLine	CVCL_7018
GeneOrGeneProduct	958
GeneOrGeneProduct	16183
GeneOrGeneProduct	1890
ChemicalEntity	D009705
DiseaseOrPhenotypicFeature	D053842
DiseaseOrPhenotypicFeature	D005910
DiseaseOrPhenotypicFeature	D013274
ChemicalEntity	C055085
ChemicalEntity	C011175
ChemicalEntity	D000641
GeneOrGeneProduct	561503
OrganismTaxon	7955
GeneOrGeneProduct	30384
OrganismTaxon	8355
DiseaseOrPhenotypicFeature	D064793
ChemicalEntity	D019788
DiseaseOrPhenotypicFeature	D011085
DiseaseOrPhenotypicFeature	D004700
ChemicalEntity	D004958
ChemicalEntity	D013739
ChemicalEntity	D011374
GeneOrGeneProduct	17311
GeneOrGeneProduct	27401
GeneOrGeneProduct	22601
DiseaseOrPhenotypicFeature	D006030
DiseaseOrPhenotypicFeature	D007690
DiseaseOrPhenotypicFeature	D000072661
DiseaseOrPhenotypicFeature	D052177
GeneOrGeneProduct	26417
GeneOrGeneProduct	26413
GeneOrGeneProduct	11651
GeneOrGeneProduct	13666
GeneOrGeneProduct	229317
GeneOrGeneProduct	11911
DiseaseOrPhenotypicFeature	D003560
ChemicalEntity	C031655
ChemicalEntity	D000077602
SequenceVariant	p|SUB|K|417|N/T
SequenceVariant	p|SUB|E|484|K
SequenceVariant	p|SUB|N|501|Y
SequenceVariant	p|SUB|A|570|D
DiseaseOrPhenotypicFeature	D011274
ChemicalEntity	D008727
DiseaseOrPhenotypicFeature	D011271
DiseaseOrPhenotypicFeature	D000079262
DiseaseOrPhenotypicFeature	D017543
DiseaseOrPhenotypicFeature	D065606
DiseaseOrPhenotypicFeature	D066126
ChemicalEntity	C575009
DiseaseOrPhenotypicFeature	D006333
DiseaseOrPhenotypicFeature	D006331
ChemicalEntity	D000470
DiseaseOrPhenotypicFeature	D005355
ChemicalEntity	D010165
ChemicalEntity	D006046
ChemicalEntity	D009532
DiseaseOrPhenotypicFeature	D002544
GeneOrGeneProduct	3586
GeneOrGeneProduct	627
GeneOrGeneProduct	3553
GeneOrGeneProduct	7422
GeneOrGeneProduct	60628
GeneOrGeneProduct	287847
GeneOrGeneProduct	24498
GeneOrGeneProduct	24835
GeneOrGeneProduct	24494
ChemicalEntity	D013449
ChemicalEntity	D017665
ChemicalEntity	D000577
ChemicalEntity	D019811
ChemicalEntity	D013450
ChemicalEntity	D001391
ChemicalEntity	D009574
DiseaseOrPhenotypicFeature	D064726
GeneOrGeneProduct	22060
ChemicalEntity	D003520
GeneOrGeneProduct	12978
DiseaseOrPhenotypicFeature	D015674
GeneOrGeneProduct	19264
GeneOrGeneProduct	12524
GeneOrGeneProduct	12504
GeneOrGeneProduct	1436
DiseaseOrPhenotypicFeature	D000077273
GeneOrGeneProduct	4171
GeneOrGeneProduct	999
GeneOrGeneProduct	8829
GeneOrGeneProduct	3552
GeneOrGeneProduct	114548
GeneOrGeneProduct	59272
DiseaseOrPhenotypicFeature	D055370
DiseaseOrPhenotypicFeature	D019851
DiseaseOrPhenotypicFeature	D012131
ChemicalEntity	C541220
GeneOrGeneProduct	1969
GeneOrGeneProduct	2041
SequenceVariant	p|SUB|S|897|E
GeneOrGeneProduct	998
GeneOrGeneProduct	55869
GeneOrGeneProduct	2185
GeneOrGeneProduct	64191
ChemicalEntity	C016705
ChemicalEntity	D004875
GeneOrGeneProduct	301517
GeneOrGeneProduct	29680
ChemicalEntity	C010200
ChemicalEntity	C003532
ChemicalEntity	D013261
ChemicalEntity	C480635
ChemicalEntity	C007041
ChemicalEntity	D009173
DiseaseOrPhenotypicFeature	D008181
ChemicalEntity	D008277
DiseaseOrPhenotypicFeature	D009437
GeneOrGeneProduct	8912
GeneOrGeneProduct	5816
DiseaseOrPhenotypicFeature	D000080902
DiseaseOrPhenotypicFeature	D006930
ChemicalEntity	C056790
ChemicalEntity	C051799
DiseaseOrPhenotypicFeature	D008171
OrganismTaxon	36809
DiseaseOrPhenotypicFeature	D003550
OrganismTaxon	561007
DiseaseOrPhenotypicFeature	D012141
DiseaseOrPhenotypicFeature	D014390
ChemicalEntity	D018942
DiseaseOrPhenotypicFeature	C566367
DiseaseOrPhenotypicFeature	D009165
DiseaseOrPhenotypicFeature	D005901
GeneOrGeneProduct	6623
DiseaseOrPhenotypicFeature	D005902
ChemicalEntity	D010656
GeneOrGeneProduct	232345
GeneOrGeneProduct	64817
GeneOrGeneProduct	227289
GeneOrGeneProduct	104099
GeneOrGeneProduct	79987
ChemicalEntity	D019796
GeneOrGeneProduct	11848
GeneOrGeneProduct	19878
ChemicalEntity	C015330
ChemicalEntity	D008070
GeneOrGeneProduct	15289
GeneOrGeneProduct	18033
CellLine	CVCL_0184
CellLine	CVCL_3751
ChemicalEntity	D019695
GeneOrGeneProduct	21926
GeneOrGeneProduct	16176
GeneOrGeneProduct	16193
DiseaseOrPhenotypicFeature	D000090463
ChemicalEntity	D005424
DiseaseOrPhenotypicFeature	D011014
DiseaseOrPhenotypicFeature	D000092124
DiseaseOrPhenotypicFeature	D004417
DiseaseOrPhenotypicFeature	D017254
ChemicalEntity	D000638
DiseaseOrPhenotypicFeature	D005235
ChemicalEntity	C505247
ChemicalEntity	D002794
OrganismTaxon	33035
DiseaseOrPhenotypicFeature	D008103
GeneOrGeneProduct	236781
GeneOrGeneProduct	26409
GeneOrGeneProduct	21803
DiseaseOrPhenotypicFeature	D010149
GeneOrGeneProduct	4314
GeneOrGeneProduct	3627
GeneOrGeneProduct	4313
GeneOrGeneProduct	12266
GeneOrGeneProduct	13051
GeneOrGeneProduct	114737
GeneOrGeneProduct	231633
DiseaseOrPhenotypicFeature	D000067877
DiseaseOrPhenotypicFeature	D012559
GeneOrGeneProduct	775
GeneOrGeneProduct	3757
SequenceVariant	rs2283274
SequenceVariant	rs2239061
SequenceVariant	rs11763131
SequenceVariant	rs3807373
SequenceVariant	rs3800779
SequenceVariant	rs748693
SequenceVariant	rs1036145
GeneOrGeneProduct	3845
GeneOrGeneProduct	4893
GeneOrGeneProduct	5594
GeneOrGeneProduct	4893
GeneOrGeneProduct	1956
SequenceVariant	rs121913529
SequenceVariant	rs112445441
SequenceVariant	rs11554290
SequenceVariant	rs17851045
SequenceVariant	rs121434596
DiseaseOrPhenotypicFeature	C565169
DiseaseOrPhenotypicFeature	D015432
GeneOrGeneProduct	712
DiseaseOrPhenotypicFeature	C562924
DiseaseOrPhenotypicFeature	D007674
ChemicalEntity	D001896
ChemicalEntity	D009943
ChemicalEntity	D002245
ChemicalEntity	D004852
ChemicalEntity	D008670
ChemicalEntity	D009943
ChemicalEntity	D006859
ChemicalEntity	D010758
ChemicalEntity	D064751
ChemicalEntity	C007193
ChemicalEntity	D053138
ChemicalEntity	D011108
ChemicalEntity	D002254
ChemicalEntity	C009068
GeneOrGeneProduct	5728
GeneOrGeneProduct	84557
GeneOrGeneProduct	8678
ChemicalEntity	D008687
ChemicalEntity	D000077152
DiseaseOrPhenotypicFeature	D018149
DiseaseOrPhenotypicFeature	D008659
GeneOrGeneProduct	16846
ChemicalEntity	D008911
ChemicalEntity	D013752
CellLine	CVCL_U446
DiseaseOrPhenotypicFeature	D010003
OrganismTaxon	9986
GeneOrGeneProduct	842674
GeneOrGeneProduct	841792
GeneOrGeneProduct	836819
GeneOrGeneProduct	823706
GeneOrGeneProduct	818982
OrganismTaxon	3702
GeneOrGeneProduct	841591
GeneOrGeneProduct	821676
DiseaseOrPhenotypicFeature	D020964
DiseaseOrPhenotypicFeature	D000544
GeneOrGeneProduct	203228
GeneOrGeneProduct	10497
DiseaseOrPhenotypicFeature	D016472
DiseaseOrPhenotypicFeature	D009134
GeneOrGeneProduct	6606
GeneOrGeneProduct	6607
DiseaseOrPhenotypicFeature	D000690
GeneOrGeneProduct	6647
ChemicalEntity	D002045
DiseaseOrPhenotypicFeature	D014549
ChemicalEntity	C514822
ChemicalEntity	D000082
ChemicalEntity	D008012
SequenceVariant	p|SUB|N|460|K
SequenceVariant	p|SUB|R|346|T
SequenceVariant	p|SUB|K|444|T
SequenceVariant	p|SUB|F|486|S
SequenceVariant	p|SUB|D|1199|N
GeneOrGeneProduct	2875
ChemicalEntity	D004281
ChemicalEntity	C010944
ChemicalEntity	C030358
ChemicalEntity	D019814
ChemicalEntity	D019308
ChemicalEntity	D005229
ChemicalEntity	C008757
ChemicalEntity	D019301
ChemicalEntity	C046649
DiseaseOrPhenotypicFeature	D010300
ChemicalEntity	D007980
DiseaseOrPhenotypicFeature	D004409
DiseaseOrPhenotypicFeature	D009325
DiseaseOrPhenotypicFeature	D004244
DiseaseOrPhenotypicFeature	D006212
DiseaseOrPhenotypicFeature	D006970
DiseaseOrPhenotypicFeature	D007024
ChemicalEntity	D000077154
DiseaseOrPhenotypicFeature	D013119
DiseaseOrPhenotypicFeature	D000070642
GeneOrGeneProduct	298575
